datetime,open,high,close,volume
2016-12-01 00:00:00,1743.0,1822.0,1813.0,20265800
2017-01-01 00:00:00,1813.0,2013.0,1956.0,17657200
2017-02-01 00:00:00,1957.0,2084.0,1903.0,38514600
2017-03-01 00:00:00,1915.0,2110.0,2074.0,61711700
2017-04-01 00:00:00,2097.0,2110.0,2098.0,25110800
2017-05-01 00:00:00,2120.0,2353.0,2187.0,33662500
2017-06-01 00:00:00,2205.0,2295.0,2106.0,25950300
2017-07-01 00:00:00,2106.0,2181.0,2090.0,21807300
2017-08-01 00:00:00,2085.0,2286.0,2234.0,21340400
2017-09-01 00:00:00,2245.0,2633.0,2623.0,25930000
2017-10-01 00:00:00,2636.0,2805.0,2802.0,30811500
2017-11-01 00:00:00,2803.0,2885.0,2628.0,43792900
2017-12-01 00:00:00,2684.0,2928.0,2824.0,23046500
2018-01-01 00:00:00,2824.0,2930.0,2717.0,17415100
2018-02-01 00:00:00,2720.0,2827.0,2751.0,28578000
2018-03-01 00:00:00,2701.0,3130.0,3095.0,22176600
2018-04-01 00:00:00,3075.0,3175.0,2603.0,24018500
2018-05-01 00:00:00,2600.0,2884.0,2333.0,38499800
2018-06-01 00:00:00,2373.0,2558.0,2471.0,29434200
2018-07-01 00:00:00,2465.0,2537.0,2434.0,19175200
2018-08-01 00:00:00,2433.0,2606.0,2485.0,22234200
2018-09-01 00:00:00,2518.0,2739.0,2665.0,17262600
2018-10-01 00:00:00,2708.0,2789.0,2148.0,28968400
2018-11-01 00:00:00,2154.0,2291.0,2126.0,26281300
2018-12-01 00:00:00,2169.0,2213.0,1636.0,29363900
2019-01-01 00:00:00,1636.0,1944.0,1933.0,21043400
2019-02-01 00:00:00,1941.0,2036.0,1908.0,21771000
2019-03-01 00:00:00,1910.0,2023.0,1792.0,18682200
2019-04-01 00:00:00,1832.0,2095.0,2084.0,17933000
2019-05-01 00:00:00,2084.0,2453.0,2312.0,29102200
2019-06-01 00:00:00,2271.0,2568.0,2531.0,21287800
2019-07-01 00:00:00,2580.0,2673.0,2657.0,19117700
2019-08-01 00:00:00,2621.0,2691.0,2157.0,29620600
2019-09-01 00:00:00,2187.0,2306.0,2042.0,22696100
2019-10-01 00:00:00,2047.0,2114.0,2090.0,21716500
2019-11-01 00:00:00,2059.0,2250.0,2013.0,27873300
2019-12-01 00:00:00,2018.0,2097.0,2051.0,20907900
2020-01-01 00:00:00,2051.0,2135.0,1985.0,18351200
2020-02-01 00:00:00,1958.0,2185.0,1429.0,27733800
2020-03-01 00:00:00,1413.0,1483.0,1086.0,40897800
2020-04-01 00:00:00,1085.0,1270.0,1261.0,27366200
2020-05-01 00:00:00,1224.0,1469.0,1425.0,21996300
2020-06-01 00:00:00,1418.0,1612.0,1480.0,20022200
2020-07-01 00:00:00,1484.0,1607.0,1338.0,16875500
2020-08-01 00:00:00,1352.0,1818.0,1655.0,18355900
2020-09-01 00:00:00,1620.0,1820.0,1703.0,15038300
2020-10-01 00:00:00,1703.0,1863.0,1571.0,13007700
2020-11-01 00:00:00,1598.0,2014.0,1912.0,16571300
2020-12-01 00:00:00,1918.0,2069.0,1861.0,11802500
2021-01-01 00:00:00,1861.0,2024.0,1959.0,9029500
2021-02-01 00:00:00,1959.0,2315.0,2107.0,8958400
2021-03-01 00:00:00,2170.0,2352.0,2164.0,11417400
2021-04-01 00:00:00,2155.0,2227.0,2009.0,8088100
2021-05-01 00:00:00,2009.0,2161.0,2075.0,9275300
2021-06-01 00:00:00,2090.0,2321.0,2195.0,11330400
2021-07-01 00:00:00,2196.0,2369.0,2195.0,8054100
2021-08-01 00:00:00,2241.0,2716.0,2572.0,10797100
2021-09-01 00:00:00,2565.0,2896.0,2831.0,9535000
2021-09-28 15:15:01,2828.0,2873.0,2848.0,897400
